"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"대전광역시 서구 관저1동(3017059600)","15,332","15,332","1,131","1,534","2,689","1,960","2,223","2,711","1,787","805","437","54","1","7,289","7,289","582","815","1,265","957","1,020","1,251","887","345","151","16","0","8,043","8,043","549","719","1,424","1,003","1,203","1,460","900","460","286","38","1"
"대전광역시 서구 관저2동(3017059700)","49,266","49,266","5,540","6,030","6,510","7,289","9,283","7,808","4,091","1,802","793","119","1","24,001","24,001","2,813","3,084","3,296","3,557","4,390","3,859","1,938","786","258","20","0","25,265","25,265","2,727","2,946","3,214","3,732","4,893","3,949","2,153","1,016","535","99","1"
"대전광역시 서구 기성동(3017060000)","3,637","3,637","88","163","253","241","391","631","794","564","414","91","7","1,883","1,883","57","85","149","131","233","353","454","264","143","14","0","1,754","1,754","31","78","104","110","158","278","340","300","271","77","7"
"대전광역시 서구 둔산1동(3017063000)","16,563","16,563","1,430","3,331","1,552","1,169","3,855","2,572","1,369","821","396","68","0","8,151","8,151","738","1,733","817","503","1,717","1,378","691","391","162","21","0","8,412","8,412","692","1,598","735","666","2,138","1,194","678","430","234","47","0"
"대전광역시 서구 둔산2동(3017064000)","35,138","35,138","2,967","3,891","5,156","5,193","5,935","6,245","3,789","1,283","599","78","2","16,960","16,960","1,522","2,004","2,547","2,501","2,697","2,946","1,890","609","224","19","1","18,178","18,178","1,445","1,887","2,609","2,692","3,238","3,299","1,899","674","375","59","1"
"대전광역시 서구 만년동(3017065000)","12,642","12,642","871","1,223","2,267","2,045","1,894","2,239","1,369","470","226","38","0","6,384","6,384","434","632","1,306","1,076","887","1,068","688","206","80","7","0","6,258","6,258","437","591","961","969","1,007","1,171","681","264","146","31","0"
"대전광역시 서구 둔산3동(3017066000)","19,505","19,505","1,077","2,795","2,499","1,639","3,208","3,500","2,642","1,394","650","93","8","9,440","9,440","568","1,484","1,345","813","1,381","1,753","1,224","618","232","22","0","10,065","10,065","509","1,311","1,154","826","1,827","1,747","1,418","776","418","71","8"
"대전광역시 유성구 (3020000000)","352,844","352,844","32,453","37,762","52,181","54,365","60,217","55,372","37,866","14,378","7,027","1,194","29","178,251","178,251","16,672","19,623","28,054","28,538","29,527","27,673","18,681","6,772","2,432","277","2","174,593","174,593","15,781","18,139","24,127","25,827","30,690","27,699","19,185","7,606","4,595","917","27"
"대전광역시 유성구 진잠동(3020052000)","25,216","25,216","1,802","2,367","3,294","2,810","4,095","4,777","3,521","1,583","842","122","3","12,866","12,866","931","1,280","1,782","1,546","2,099","2,455","1,738","720","295","20","0","12,350","12,350","871","1,087","1,512","1,264","1,996","2,322","1,783","863","547","102","3"
"대전광역시 유성구 학하동(3020052600)","17,157","17,157","1,756","1,312","2,576","2,744","2,690","2,712","2,384","648","282","51","2","8,820","8,820","905","663","1,492","1,387","1,392","1,277","1,230","356","109","9","0","8,337","8,337","851","649","1,084","1,357","1,298","1,435","1,154","292","173","42","2"
"대전광역시 유성구 상대동(3020052700)","24,941","24,941","3,083","3,448","2,422","3,381","4,885","3,893","2,637","767","351","74","0","12,188","12,188","1,561","1,801","1,259","1,555","2,299","1,902","1,311","368","121","11","0","12,753","12,753","1,522","1,647","1,163","1,826","2,586","1,991","1,326","399","230","63","0"
"대전광역시 유성구 온천1동(3020053000)","26,657","26,657","863","948","6,596","5,408","3,303","3,975","3,224","1,522","713","101","4","13,784","13,784","443","500","3,190","3,125","1,831","2,075","1,645","690","252","33","0","12,873","12,873","420","448","3,406","2,283","1,472","1,900","1,579","832","461","68","4"
"대전광역시 유성구 온천2동(3020054000)","39,637","39,637","3,236","3,076","8,608","6,033","5,513","5,633","4,804","1,802","785","145","2","20,666","20,666","1,630","1,597","5,009","3,351","2,766","2,756","2,346","883","288","40","0","18,971","18,971","1,606","1,479","3,599","2,682","2,747","2,877","2,458","919","497","105","2"
