시점,분류,범죄발생장소,데이터
2018,폭행,해상,75
2018,폭행,부대,46
2018,폭행,구금장소,21
2018,폭행,공지,15
2018,폭행,주차장,3076
2018,폭행,공중화장실,273
2018,폭행,PC방,608
2018,체포·감금,아파트 연립다세대,196
2018,체포·감금,단독주택,139
2018,체포·감금,고속도로,7
2018,체포·감금,노상,269
2018,체포·감금,백화점,1
2018,체포·감금,슈퍼마켓,2
2018,체포·감금,편의점,2
2018,체포·감금,대형할인매장,1
2018,체포·감금,상점,8
2018,체포·감금,시장노점,10
2018,체포·감금,숙박업소 목욕탕,103
2018,체포·감금,유흥접객업소,72
2018,체포·감금,사무실,53
2018,체포·감금,공장,5
2018,체포·감금,공사장광산,0
2018,체포·감금,창고,2
2018,체포·감금,역대합실,6
2018,체포·감금,지하철,0
2018,체포·감금,기타교통수단내,117
2018,체포·감금,흥행장,2
2018,체포·감금,유원지,1
2018,체포·감금,학교,7
2018,체포·감금,금융기관,1
2018,체포·감금,의료기관,38
2018,체포·감금,종교기관,9
2018,체포·감금,산야,3
2018,체포·감금,해상,0
2018,체포·감금,부대,0
2018,체포·감금,구금장소,2
2018,체포·감금,공지,0
2018,체포·감금,주차장,26
2018,체포·감금,공중화장실,1
2018,체포·감금,PC방,1
2018,협박,아파트 연립다세대,3288
2018,협박,단독주택,2704
2018,협박,고속도로,93
2018,협박,노상,5045
2018,협박,백화점,11
2018,협박,슈퍼마켓,49
2018,협박,편의점,175
2018,협박,대형할인매장,9
2018,협박,상점,223
2018,협박,시장노점,129
2018,협박,숙박업소 목욕탕,180
2018,협박,유흥접객업소,1266
2018,협박,사무실,742
2018,협박,공장,59
2018,협박,공사장광산,36
2018,협박,창고,9
2018,협박,역대합실,45
2018,협박,지하철,15
2018,협박,기타교통수단내,114
2018,협박,흥행장,14
2018,협박,유원지,68
2018,협박,학교,96
2018,협박,금융기관,20
2018,협박,의료기관,159
2018,협박,종교기관,53
2018,협박,산야,39
2018,협박,해상,9
2018,협박,부대,6
2018,협박,구금장소,7
2018,협박,공지,3
2018,협박,주차장,195
2018,협박,공중화장실,6
2018,협박,PC방,31
2018,약취·유인,아파트 연립다세대,26
2018,약취·유인,단독주택,11
2018,약취·유인,고속도로,0
2018,약취·유인,노상,83
2018,약취·유인,백화점,0
2018,약취·유인,슈퍼마켓,0
2018,약취·유인,편의점,0
2018,약취·유인,대형할인매장,0
2018,약취·유인,상점,1
2018,약취·유인,시장노점,3
2018,약취·유인,숙박업소 목욕탕,4
2018,약취·유인,유흥접객업소,2
2018,약취·유인,사무실,4
2018,약취·유인,공장,0
2018,약취·유인,공사장광산,0
2018,약취·유인,창고,0
2018,약취·유인,역대합실,5
2018,약취·유인,지하철,0
2018,약취·유인,기타교통수단내,4
2018,약취·유인,흥행장,0
2018,약취·유인,유원지,1
2018,약취·유인,학교,15
2018,약취·유인,금융기관,0
2018,약취·유인,의료기관,3
2018,약취·유인,종교기관,0
2018,약취·유인,산야,1
2018,약취·유인,해상,0
2018,약취·유인,부대,0
2018,약취·유인,구금장소,0
2018,약취·유인,공지,0
2018,약취·유인,주차장,1
2018,약취·유인,공중화장실,0
2018,약취·유인,PC방,1
2018,폭력행위등,아파트 연립다세대,475
2018,폭력행위등,단독주택,313
2018,폭력행위등,고속도로,2
2018,폭력행위등,노상,4470
2018,폭력행위등,백화점,4
2018,폭력행위등,슈퍼마켓,13
2018,폭력행위등,편의점,40
2018,폭력행위등,대형할인매장,3
2018,폭력행위등,상점,101
2018,폭력행위등,시장노점,143
2018,폭력행위등,숙박업소 목욕탕,160
2018,폭력행위등,유흥접객업소,1440
2018,폭력행위등,사무실,246
2018,폭력행위등,공장,31
2018,폭력행위등,공사장광산,54
2018,폭력행위등,창고,6
2018,폭력행위등,역대합실,26
2018,폭력행위등,지하철,6
2018,폭력행위등,기타교통수단내,30
2018,폭력행위등,흥행장,12
2018,폭력행위등,유원지,184
2018,폭력행위등,학교,162
2018,폭력행위등,금융기관,5
2018,폭력행위등,의료기관,49
2018,폭력행위등,종교기관,95
2018,폭력행위등,산야,39
2018,폭력행위등,해상,7
2018,폭력행위등,부대,6
2018,폭력행위등,구금장소,1
2018,폭력행위등,공지,3
2018,폭력행위등,주차장,238
2018,폭력행위등,공중화장실,29
2018,폭력행위등,PC방,35
2018,공갈,아파트 연립다세대,248
2018,공갈,단독주택,328
2018,공갈,고속도로,3
2018,공갈,노상,745
2018,공갈,백화점,3
2018,공갈,슈퍼마켓,9
2018,공갈,편의점,43
2018,공갈,대형할인매장,3
2018,공갈,상점,67
2018,공갈,시장노점,42
2018,공갈,숙박업소 목욕탕,68
2018,공갈,유흥접객업소,241
2018,공갈,사무실,313
2018,공갈,공장,15
2018,공갈,공사장광산,23
2018,공갈,창고,0
2018,공갈,역대합실,17
2018,공갈,지하철,4
2018,공갈,기타교통수단내,24
2018,공갈,흥행장,2
2018,공갈,유원지,30
